,exercise_name,crossfit_session_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instructions
0,Cossack Squat,Aerobic Body Building,Warm-up,Dumbbells,Full body,Pull,"Upper Chest, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
1,Glute-Ham Raises,Gymnastics,Cardio,Medicine Ball,Core,Push,"Lower Back, Core","Ensure your breathing is controlled, exhaling during the exertion phase."
2,Strict L-Sit Pull-Ups,Aerobic Body Building,Cardio,Bodyweight,Lower body,Pull,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
3,Lunge Twists,Gymnastics,Warm-up,Barbell,Full body,Hold,"Glutes, Hamstrings","Focus on controlling the movement to avoid injury, especially when using heavy weights."
4,Front Squat,Strength,Strength,Bodyweight,Lower body,Hold,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
5,Dumbbell Thrusters,Conditioning,Warm-up,Bodyweight,Full body,Hold,"Glutes, Hamstrings","Make sure to use explosive power when needed, especially for dynamic exercises."
6,Elevated Pike Push-Up,Conditioning,Mobility,Kettlebell,Core,Push,"Lats, Biceps","Make sure to use explosive power when needed, especially for dynamic exercises."
7,Glute-Ham Raises,Strength,Warm-up,Resistance Band,Core,Hold,"Chest, Triceps",Start with a lighter weight or progression if you're new to this exercise.
8,Behind the Neck Jerk,Aerobic Body Building,Mobility,Barbell,Core,Hold,"Lower Back, Core",Maintain a strong core throughout the exercise for better stability.
9,Plank Hold,Aerobic Body Building,Warm-up,Pull-up Bar,Lower body,Hold,"Lower Back, Core",Stretch before and after this exercise for better mobility and recovery.
10,Single Leg Box Jump,Crossfit,Warm-up,Kettlebell,Lower body,Stretch,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
11,Power Jerk,Strength,Mobility,Resistance Band,Lower body,Push,"Quads, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
12,Tire Flips,Aerobic Body Building,Cardio,Dumbbells,Lower body,Push,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
13,Overhead Press,Gymnastics,Cardio,Medicine Ball,Core,Pull,"Hamstrings, Glutes",Maintain a strong core throughout the exercise for better stability.
14,Weighted Sit-Ups,Crossfit,Warm-up,Kettlebell,Upper body,Stretch,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
15,Sumo High Pull,Crossfit,Mobility,Bodyweight,Upper body,Stretch,"Upper Chest, Shoulders","Focus on controlling the movement to avoid injury, especially when using heavy weights."
16,Landmine Squats,Aerobic Body Building,Strength,Resistance Band,Upper body,Stretch,"Core, Shoulders","Make sure to use explosive power when needed, especially for dynamic exercises."
17,Kettlebell Windmill,Conditioning,Warm-up,Dumbbells,Full body,Stretch,"Shoulders, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
18,Reverse Lunges,Conditioning,Strength,Pull-up Bar,Lower body,Pull,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
19,Jerk Balance,Crossfit,Strength,Dumbbells,Upper body,Pull,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
20,Kettlebell Windmill,Crossfit,Mobility,Medicine Ball,Lower body,Pull,"Core, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
21,Deadlift,Gymnastics,Strength,Medicine Ball,Lower body,Hold,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
22,Split Squats,Strength,Strength,Bodyweight,Core,Stretch,"Biceps, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
23,Split Squats,Olympic Weightlifting,Mobility,Dumbbells,Full body,Push,"Quads, Glutes","Ensure your breathing is controlled, exhaling during the exertion phase."
24,Toe-to-Bar,Conditioning,Mobility,Dumbbells,Full body,Stretch,"Hamstrings, Glutes","Make sure to use explosive power when needed, especially for dynamic exercises."
25,Windshield Wipers,Strength,Cardio,Barbell,Upper body,Push,"Lower Back, Core",Maintain a strong core throughout the exercise for better stability.
26,Broad Jumps,Crossfit,Mobility,Kettlebell,Full body,Stretch,"Chest, Triceps",Perform the movement with a full range of motion while maintaining proper posture.
27,Dumbbell Snatch,Crossfit,Strength,Barbell,Upper body,Stretch,"Lats, Biceps",Maintain a strong core throughout the exercise for better stability.
28,Front Squat,Strength,Warm-up,Barbell,Core,Stretch,"Glutes, Hamstrings",Warm-up adequately before performing this exercise to prevent injury.
29,Dumbbell Thrusters,Strength,Strength,Kettlebell,Full body,Hold,"Lower Back, Core",Warm-up adequately before performing this exercise to prevent injury.
30,Strict Press,Crossfit,Cardio,Pull-up Bar,Upper body,Push,"Hamstrings, Glutes",Warm-up adequately before performing this exercise to prevent injury.
31,Weighted Step-Ups,Gymnastics,Mobility,Barbell,Lower body,Pull,"Lats, Biceps","Ensure your breathing is controlled, exhaling during the exertion phase."
32,Decline Push-Ups,Gymnastics,Cardio,Barbell,Upper body,Hold,"Glutes, Hamstrings",Maintain a strong core throughout the exercise for better stability.
33,Zercher Squats,Aerobic Body Building,Mobility,Dumbbells,Upper body,Pull,"Lower Back, Core","Make sure to use explosive power when needed, especially for dynamic exercises."
34,Double Dumbbell Deadlift,Crossfit,Warm-up,Barbell,Core,Pull,"Biceps, Shoulders",Warm-up adequately before performing this exercise to prevent injury.
35,Scapular Push-Ups,Gymnastics,Strength,Kettlebell,Upper body,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
36,V-Ups,Conditioning,Warm-up,Bodyweight,Upper body,Pull,"Lats, Biceps",Stretch before and after this exercise for better mobility and recovery.
37,Kettlebell Snatch,Aerobic Body Building,Mobility,Medicine Ball,Lower body,Stretch,"Shoulders, Triceps",Maintain a strong core throughout the exercise for better stability.
38,Seated Box Jumps,Olympic Weightlifting,Mobility,Kettlebell,Full body,Pull,"Upper Chest, Shoulders",Keep your back straight and hinge at the hips for proper form.
39,Scapular Push-Ups,Aerobic Body Building,Mobility,Pull-up Bar,Upper body,Pull,"Biceps, Shoulders","Ensure your breathing is controlled, exhaling during the exertion phase."
40,Single Arm Snatch,Olympic Weightlifting,Mobility,Medicine Ball,Core,Pull,"Lower Back, Core","Focus on controlling the movement to avoid injury, especially when using heavy weights."
41,Banded Tricep Pushdowns,Strength,Mobility,Bodyweight,Upper body,Pull,"Lats, Biceps",Keep your back straight and hinge at the hips for proper form.
42,Wall Ball Sit-Ups,Crossfit,Warm-up,Kettlebell,Core,Stretch,"Lower Back, Core",Perform the movement with a full range of motion while maintaining proper posture.
43,Inverted Row,Gymnastics,Mobility,Resistance Band,Upper body,Stretch,"Core, Shoulders",Maintain a strong core throughout the exercise for better stability.
44,Tire Drag,Conditioning,Strength,Dumbbells,Full body,Pull,"Chest, Triceps",Stretch before and after this exercise for better mobility and recovery.
45,Push Press,Crossfit,Strength,Barbell,Core,Stretch,"Core, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
46,Tire Drag,Olympic Weightlifting,Cardio,Resistance Band,Upper body,Hold,"Lower Back, Core",Keep your back straight and hinge at the hips for proper form.
47,Front Squat,Olympic Weightlifting,Warm-up,Dumbbells,Full body,Pull,"Chest, Triceps","Focus on controlling the movement to avoid injury, especially when using heavy weights."
48,Zercher Squats,Conditioning,Warm-up,Medicine Ball,Lower body,Hold,"Shoulders, Triceps",Start with a lighter weight or progression if you're new to this exercise.
49,Split Snatch,Gymnastics,Mobility,Resistance Band,Full body,Stretch,"Biceps, Shoulders",Start with a lighter weight or progression if you're new to this exercise.
50,AbMat Sit-Ups,Crossfit,Mobility,Medicine Ball,Lower body,Stretch,"Core, Shoulders",Perform the movement with a full range of motion while maintaining proper posture.
